"secuencial";"secCanton";"codigo";"nombre";"estaActivo"
4875;54;"51";"CHACRAS";1
4876;54;"54";"PALMALES";1
4877;54;"55";"CARCABON";1
4878;55;"50";"PACCHA";1
4879;55;"51";"AYAPAMBA";1
4880;55;"52";"CORDONCILLO";1
4881;55;"53";"MILAGRO";1
4882;55;"54";"SAN JOSE";1
4883;55;"55";"SAN JUAN DE CERRO AZUL";1
4884;56;"50";"BALSAS";1
4885;56;"51";"BELLAMARIA";1
4886;57;"50";"CHILLA";1
4887;58;"50";"EL GUABO";1
4888;58;"51";"BARBONES (SUCRE) ";1
4889;58;"52";"LA IBERIA";1
4890;58;"53";"TENDALES (CAB.EN PUERTO TENDALES)";1
4891;58;"54";"RIO BONITO";1
4892;59;"50";"HUAQUILLAS";1
4893;60;"50";"MARCABELI";1
4894;60;"51";"EL INGENIO";1
4895;61;"50";"PASAJE";1
4896;61;"51";"BUENAVISTA";1
4897;61;"52";"CASACAY";1
4898;61;"53";"LA PEAÑA";1
4899;61;"54";"PROGRESO";1
4900;61;"55";"UZHCURRUMI";1
4901;61;"56";"CAÑAQUEMADA ";1
4902;62;"50";"PIÑAS";1
4903;62;"51";"CAPIRO (CAB. EN LA CAPILLA DE CAPIRO)";1
4904;62;"52";"LA BOCANA";1
4905;62;"53";"MOROMORO (CAB. EN EL VADO)";1
4906;62;"54";"PIEDRAS";1
4907;62;"55";"SAN ROQUE (AMBROSIO MALDONADO)";1
4908;62;"56";"SARACAY";1
4909;63;"50";"PORTOVELO";1
4910;63;"51";"CURTINCAPA";1
4911;63;"52";"MORALES";1
4912;63;"53";"SALATI";1
4913;64;"50";"SANTA ROSA";1
4914;64;"51";"BELLAVISTA";1
4915;64;"52";"JAMBELI";1
4916;64;"53";"LA AVANZADA";1
4917;64;"54";"SAN ANTONIO";1
4918;64;"55";"TORATA";1
4919;64;"56";"VICTORIA";1
4920;64;"57";"BELLAMARIA";1
4921;65;"50";"ZARUMA";1
4922;65;"51";"ABAÑIN";1
4923;65;"52";"ARCAPAMBA";1
4924;65;"53";"GUANAZAN";1
4925;65;"54";"GUIZHAGUIÑA";1
4926;65;"55";"HUERTAS";1
4927;65;"56";"MALVAS";1
4928;65;"57";"MULUNCAY GRANDE";1
4929;65;"58";"SINSAO";1
4930;65;"59";"SALVIAS";1
4931;66;"50";"LA VICTORIA";1
4932;66;"51";"LA LIBERTAD";1
4933;66;"52";"EL PARAISO ";1
4934;66;"53";"SAN ISIDRO";1
5159;67;"50";"ESMERALDAS";1
5160;67;"52";"CAMARONES (CAB. EN SAN VICENTE) ";1
5161;67;"53";"CRNEL. CARLOS CONCHA TORRES (CAB.EN HUELE)";1
5162;67;"54";"CHINCA";1
5163;67;"59";"MAJUA";1
5164;67;"63";"SAN MATEO";1
5165;67;"65";"TABIAZO";1
5166;67;"66";"TACHINA";1
5167;67;"68";"VUELTA LARGA";1
5168;68;"50";"VALDEZ (LIMONES)";1
5169;68;"51";"ANCHAYACU";1
5170;68;"52";"ATAHUALPA (CAB. EN CAMARONES) ";1
5171;68;"53";"BORBON";1
5172;68;"54";"LA TOLA";1
5173;68;"55";"LUIS VARGAS TORRES (CAB. EN PLAYA DE ORO)";1
5174;68;"56";"MALDONADO";1
5175;68;"57";"PAMPANAL DE BOLIVAR     ";1
5176;68;"58";"SAN FRANCISCO DE ONZOLE";1
5177;68;"59";"SANTO DOMINGO DE ONZOLE";1
5178;68;"60";"SELVA ALEGRE";1
5179;68;"61";"TELEMBI";1
5180;68;"62";"COLON ELOY DEL MARIA";1
5181;68;"63";"SAN JOSE DE CAYAPAS";1
5182;68;"64";"TIMBIRE  ";1
5183;69;"50";"MUISNE";1
5184;69;"51";"BOLIVAR";1
5185;69;"52";"DAULE";1
5186;69;"53";"GALERA";1
5187;69;"54";"QUINGUE (OLMEDO PERDOMO FRANCO) ";1
5188;69;"55";"SALIMA";1
5189;69;"56";"SAN FRANCISCO";1
5190;69;"57";"SAN GREGORIO";1
5191;69;"58";"SAN JOSE DE CHAMANGA (CAB.EN CHAMANGA)";1
5192;70;"50";"ROSA ZARATE (QUININDE)";1
5193;70;"51";"CUBE";1
5194;70;"52";"CHURA (CHANCAMA) (CAB. EN EL YERBERO)";1
5195;70;"53";"MALIMPIA";1
5196;70;"54";"VICHE";1
5197;70;"55";"LA UNION";1
5198;71;"50";"SAN LORENZO";1
5199;71;"51";"ALTO TAMBO (CAB. EN GUADUAL) ";1
5200;71;"52";"ANCON (PICHANGAL) (CAB. EN PALMA REAL) ";1
5201;71;"53";"CALDERON";1
5202;71;"54";"CARONDELET";1
5203;71;"55";"5 DE JUNIO (CAB. EN UIMBI) ";1
5204;71;"56";"CONCEPCION";1
5205;71;"57";"MATAJE (CAB. EN SANTANDER)";1
5206;71;"58";"SAN JAVIER DE CACHAVI (CAB. EN SAN JAVIER) ";1
5207;71;"59";"SANTA RITA";1
5208;71;"60";"TAMBILLO";1
5209;71;"61";"TULULBI (CAB. EN RICAURTE)";1
5210;71;"62";"URBINA";1
5211;72;"50";"ATACAMES";1
5212;72;"51";"LA UNION";1
5213;72;"52";"SUA  (CAB. EN LA BOCANA) ";1
